DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
CCR5_HUMAN_Gill_2023,0.462,0.376,0.385,0.288,0.346,0.358,0.376,0.323,-0.006,0.443,0.443
CD19_HUMAN_Klesmith_2019_FMC_singles,0.469,0.269,0.349,0.216,0.053,0.286,0.202,0.232,0.004,0.479,0.375
CP2C9_HUMAN_Amorosi_2021_abundance,0.72,0.614,0.611,0.616,0.589,0.592,0.627,0.636,-0.011,0.66,0.605
CP2C9_HUMAN_Amorosi_2021_activity,0.754,0.65,0.659,0.649,0.643,0.602,0.636,0.654,0.206,0.716,0.626
CSN4_MOUSE_Tsuboyama_2023_1UFM,0.826,0.698,0.711,0.367,0.559,0.387,0.493,0.454,0.042,0.751,0.611
CUE1_YEAST_Tsuboyama_2023_2MYX,0.755,0.582,0.733,0.503,0.376,0.464,0.408,0.491,0.23,0.734,0.53
D7PM05_CLYGR_Somermeyer_2022,0.684,0.166,0.702,0.515,0.026,0.601,0.415,0.531,0.34,0.709,0.462
DLG4_HUMAN_Faure_2021,0.623,0.541,0.502,0.401,0.388,0.48,0.607,0.582,0.022,0.52,0.529
DLG4_RAT_McLaughlin_2012,0.559,0.556,0.517,0.49,0.547,0.493,0.431,0.54,0.042,0.531,0.399
DN7A_SACS2_Tsuboyama_2023_1JIC,0.783,0.477,0.703,0.209,0.136,0.297,0.189,0.204,0.228,0.726,0.569
DNJA1_HUMAN_Tsuboyama_2023_2LO1,0.835,0.753,0.668,0.423,0.389,0.289,0.557,0.46,0.372,0.727,0.689
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.764,0.673,0.732,0.397,0.56,0.562,0.524,0.477,0.099,0.739,0.581
DYR_ECOLI_Nguyen_2023,0.526,0.512,0.559,0.472,0.536,0.483,0.375,0.44,0.203,0.602,0.434
DYR_ECOLI_Thompson_2019,0.492,0.432,0.541,0.47,0.402,0.497,0.417,0.482,0.16,0.556,0.417
ENV_HV1B9_DuenasDecamp_2016,0.068,0.462,0.384,0.354,0.428,0.383,0.384,0.376,0.33,0.371,0.417
ENV_HV1BR_Haddox_2016,0.322,0.332,0.35,0.334,0.331,0.357,0.369,0.373,0.049,0.355,0.371
ENVZ_ECOLI_Ghose_2023,0.224,0.151,0.184,0.146,0.189,0.17,0.193,0.164,0.019,0.222,0.147
EPHB2_HUMAN_Tsuboyama_2023_1F0M,0.84,0.737,0.78,0.554,0.626,0.578,0.578,0.596,0.238,0.824,0.633
ERBB2_HUMAN_Elazar_2016,0.587,0.586,0.574,0.2,0.46,0.381,0.462,0.407,-0.008,0.536,0.608
ESTA_BACSU_Nutschel_2020,0.598,0.341,0.507,0.414,0.294,0.421,0.312,0.394,-0.103,0.499,0.248
F7YBW7_MESOW_Ding_2023,0.258,0.218,0.471,0.215,0.259,0.43,0.531,0.43,-0.389,0.337,0.366
F7YBW8_MESOW_Aakre_2015,0.313,0.665,0.491,0.238,0.652,0.444,0.636,0.492,-0.418,0.342,0.495
FECA_ECOLI_Tsuboyama_2023_2D1U,0.824,0.497,0.718,0.419,0.25,0.442,0.27,0.328,0.152,0.71,0.534
FKBP3_HUMAN_Tsuboyama_2023_2KFV,0.686,0.361,0.626,0.489,0.152,0.279,0.349,0.419,0.049,0.683,0.511
GAL4_YEAST_Kitzman_2015,0.642,0.382,0.617,0.567,0.409,0.575,0.517,0.457,0.17,0.553,0.403
GCN4_YEAST_Staller_2018,0.599,0.008,0.513,0.644,0.464,0.646,0.647,0.705,0.328,0.397,0.368
GDIA_HUMAN_Silverstein_2021,0.472,0.461,0.524,0.443,0.424,0.457,0.439,0.461,-0.023,0.479,0.438
GFP_AEQVI_Sarkisyan_2016,0.427,0.152,0.483,0.495,0.059,0.449,0.402,0.528,0.12,0.506,0.357
GLPA_HUMAN_Elazar_2016,0.391,0.529,0.415,0.238,0.4,0.333,0.415,0.398,0.202,0.436,0.541
GRB2_HUMAN_Faure_2021,0.791,0.639,0.556,0.545,0.544,0.568,0.438,0.541,0.102,0.587,0.408
HCP_LAMBD_Tsuboyama_2023_2L6Q,0.815,0.744,0.716,0.171,0.476,0.385,0.532,0.508,0.183,0.715,0.648
HECD1_HUMAN_Tsuboyama_2023_3DKM,0.816,0.571,0.823,0.602,0.28,0.67,0.547,0.602,0.185,0.808,0.701
HEM3_HUMAN_Loggerenberg_2023,0.494,0.409,0.448,0.402,0.371,0.431,0.438,0.437,0.011,0.477,0.458
HIS7_YEAST_Pokusaeva_2019,0.07,-0.004,-0.079,0.129,0.119,0.097,0.137,0.128,0.264,-0.06,0.04
HMDH_HUMAN_Jiang_2019,0.652,0.569,0.289,0.394,0.341,0.269,0.329,0.359,-0.049,0.641,0.594
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,0.399,0.427,0.479,0.38,0.414,0.444,0.368,0.388,0.059,0.445,0.394
HSP82_YEAST_Flynn_2019,0.502,0.399,0.421,0.406,0.389,0.419,0.411,0.424,-0.094,0.473,0.474
HSP82_YEAST_Mishra_2016,0.633,0.606,0.512,0.593,0.579,0.504,0.568,0.594,-0.412,0.634,0.55
HXK4_HUMAN_Gersing_2022_activity,0.644,0.512,0.563,0.494,0.469,0.529,0.448,0.496,0.109,0.61,0.535
HXK4_HUMAN_Gersing_2023_abundance,0.558,0.439,0.426,0.354,0.337,0.406,0.358,0.369,0.073,0.539,0.462
I6TAH8_I68A0_Doud_2015,0.388,0.083,0.34,0.249,0.016,0.321,0.349,0.4,0.067,0.26,0.377
IF1_ECOLI_Kelsic_2016,0.551,0.424,0.457,0.528,0.533,0.213,0.483,0.531,0.054,0.43,0.511
ILF3_HUMAN_Tsuboyama_2023_2L33,0.608,0.599,0.632,0.416,0.349,0.404,0.394,0.431,-0.025,0.708,0.599
ISDH_STAAW_Tsuboyama_2023_2LHR,0.753,0.589,0.478,0.004,0.282,0.135,0.041,0.043,-0.033,0.601,0.332
KCNE1_HUMAN_Muhammad_2023_expression,0.609,0.624,0.465,0.129,0.16,0.057,0.117,0.126,-0.03,0.599,0.595
KCNE1_HUMAN_Muhammad_2023_function,0.687,0.631,0.666,0.49,0.469,0.481,0.619,0.633,0.046,0.659,0.692
KCNH2_HUMAN_Kozek_2020,0.509,0.58,0.457,0.276,0.194,0.281,0.529,0.498,0.498,0.45,0.502
KCNJ2_MOUSE_Coyote-Maestas_2022_function,0.455,0.351,0.344,0.344,0.347,0.308,0.288,0.335,-0.015,0.429,0.364
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,0.487,0.401,0.37,0.263,0.287,0.298,0.33,0.34,0.007,0.466,0.437
KKA2_KLEPN_Melnikov_2014,0.741,0.663,0.695,0.633,0.612,0.603,0.607,0.642,0.081,0.692,0.616
LGK_LIPST_Klesmith_2015,0.626,0.571,0.61,0.493,0.541,0.561,0.519,0.537,-0.184,0.605,0.542
LYAM1_HUMAN_Elazar_2016,0.536,0.565,0.549,0.076,0.384,0.426,0.348,0.311,0.483,0.505,0.542
MAFG_MOUSE_Tsuboyama_2023_1K1V,0.823,0.59,0.545,0.247,0.374,0.262,0.471,0.425,0.012,0.558,0.585
MBD11_ARATH_Tsuboyama_2023_6ACV,0.791,0.495,0.669,0.473,0.186,0.449,0.395,0.484,0.249,0.735,0.508
MET_HUMAN_Estevam_2023,0.636,0.585,0.622,0.57,0.556,0.607,0.567,0.578,0.085,0.597,0.595
MK01_HUMAN_Brenan_2016,0.453,0.251,0.28,0.268,0.203,0.174,0.137,0.233,0.226,0.333,0.189
MLAC_ECOLI_MacRae_2023,0.629,0.526,0.552,0.427,0.399,0.418,0.317,0.399,0.052,0.598,0.503
MSH2_HUMAN_Jia_2020,0.372,0.378,0.39,0.374,0.379,0.39,0.334,0.373,-0.039,0.362,0.369
MTH3_HAEAE_RockahShmuel_2015,0.71,0.698,0.7,0.705,0.681,0.67,0.608,0.696,-0.125,0.702,0.603
MTHR_HUMAN_Weile_2021,0.617,0.496,0.293,0.255,0.292,0.291,0.257,0.27,-0.062,0.619,0.551
MYO3_YEAST_Tsuboyama_2023_2BTT,0.803,0.623,0.643,0.343,0.449,0.414,0.308,0.364,0.028,0.624,0.448
NCAP_I34A1_Doud_2015,0.438,0.094,0.361,0.332,0.013,0.358,0.422,0.441,-0.042,0.339,0.411
NKX31_HUMAN_Tsuboyama_2023_2L9R,0.813,0.75,0.775,0.575,0.537,0.593,0.589,0.616,0.213,0.797,0.722
NPC1_HUMAN_Erwood_2022_HEK293T,0.79,0.419,0.758,0.624,0.321,0.731,0.705,0.726,0.161,0.745,0.727
NPC1_HUMAN_Erwood_2022_RPE1,0.758,0.401,0.783,0.597,0.479,0.771,0.808,0.792,0.595,0.734,0.717
NRAM_I33A0_Jiang_2016,0.191,0.192,0.675,0.443,0.034,0.612,0.572,0.585,-0.116,0.714,0.625
NUD15_HUMAN_Suiter_2020,0.664,0.601,0.697,0.597,0.603,0.673,0.598,0.631,0.108,0.696,0.558
NUSA_ECOLI_Tsuboyama_2023_1WCL,0.881,0.795,0.771,0.449,0.294,0.334,0.46,0.515,0.23,0.826,0.734
NUSG_MYCTU_Tsuboyama_2023_2MI6,0.895,0.74,0.827,0.518,0.321,0.523,0.512,0.511,0.243,0.854,0.756
OBSCN_HUMAN_Tsuboyama_2023_1V1C,0.831,0.7,0.76,0.647,0.594,0.623,0.556,0.64,0.004,0.77,0.611
ODP2_GEOSE_Tsuboyama_2023_1W4G,0.735,0.146,0.629,0.352,0.094,0.417,0.376,0.379,-0.117,0.65,0.416
OPSD_HUMAN_Wan_2019,0.739,0.588,0.711,0.511,0.508,0.591,0.519,0.475,0.215,0.678,0.587
OTC_HUMAN_Lo_2023,0.8,0.685,0.776,0.525,0.577,0.574,0.616,0.603,0.041,0.767,0.657
OTU7A_HUMAN_Tsuboyama_2023_2L2D,0.767,0.802,0.41,0.177,0.593,0.217,0.284,0.232,0.05,0.483,0.38
OXDA_RHOTO_Vanella_2023_activity,0.529,0.383,0.434,0.377,0.343,0.349,0.308,0.357,-0.079,0.454,0.344
OXDA_RHOTO_Vanella_2023_expression,0.607,0.412,0.492,0.292,0.303,0.313,0.275,0.283,0.127,0.54,0.407
P53_HUMAN_Giacomelli_2018_Null_Etoposide,0.564,0.542,0.474,0.349,0.5,0.319,0.431,0.432,-0.041,0.618,0.38
P53_HUMAN_Giacomelli_2018_Null_Nutlin,0.65,0.543,0.508,0.301,0.478,0.3,0.414,0.409,-0.143,0.55,0.429
P53_HUMAN_Giacomelli_2018_WT_Nutlin,0.744,0.699,0.552,0.359,0.573,0.276,0.468,0.453,-0.117,0.751,0.488
P53_HUMAN_Kotler_2018,0.724,0.538,0.618,0.561,0.537,0.577,0.562,0.581,0.235,0.62,0.602
P84126_THETH_Chan_2017,0.756,0.594,0.715,0.593,0.516,0.612,0.526,0.557,0.231,0.668,0.503
PA_I34A1_Wu_2015,0.226,0.037,0.228,0.508,0.053,0.315,0.575,0.586,0.068,0.256,0.557
PABP_YEAST_Melamed_2013,0.726,0.678,0.712,0.551,0.666,0.68,0.653,0.665,0.199,0.672,0.641
PAI1_HUMAN_Huttinger_2021,0.527,0.414,0.486,0.395,0.412,0.441,0.415,0.43,0.048,0.538,0.439
PHOT_CHLRE_Chen_2023,0.658,0.649,0.654,0.618,0.617,0.596,0.561,0.591,-0.055,0.628,0.606
PIN1_HUMAN_Tsuboyama_2023_1I6C,0.829,0.643,0.769,0.631,0.576,0.651,0.69,0.718,0.027,0.776,0.741
PITX2_HUMAN_Tsuboyama_2023_2L7M,0.749,0.581,0.706,0.505,0.469,0.547,0.511,0.512,0.017,0.682,0.62
PKN1_HUMAN_Tsuboyama_2023_1URF,0.656,0.568,0.622,0.239,0.298,0.221,0.303,0.29,-0.101,0.705,0.567
POLG_CXB3N_Mattenberger_2021,0.493,0.122,0.5,0.417,-0.063,0.502,0.412,0.462,0.032,0.535,0.392
POLG_DEN26_Suphatrakul_2023,0.629,0.178,0.51,0.289,-0.013,0.443,0.54,0.563,0.016,0.675,0.59
POLG_HCVJF_Qi_2014,0.504,0.412,0.601,0.362,0.536,0.535,0.467,0.467,0.105,0.516,0.321
POLG_PESV_Tsuboyama_2023_2MXD,0.726,0.494,0.672,0.165,0.016,0.433,0.101,0.158,0.068,0.675,0.475
PPARG_HUMAN_Majithia_2016,0.868,0.788,0.682,0.659,0.699,0.613,0.642,0.683,0.004,0.868,0.769
PPM1D_HUMAN_Miller_2022,0.659,0.606,0.558,0.539,0.603,0.539,0.595,0.62,0.149,0.622,0.596
PR40A_HUMAN_Tsuboyama_2023_1UZC,0.745,0.507,0.772,0.439,0.23,0.59,0.459,0.507,0.156,0.764,0.53
PRKN_HUMAN_Clausen_2023,0.747,0.648,0.542,0.59,0.603,0.507,0.645,0.659,0.017,0.668,0.681
PSAE_SYNP2_Tsuboyama_2023_1PSE,0.718,0.64,0.459,0.323,0.38,0.173,0.218,0.278,0.061,0.533,0.53
PTEN_HUMAN_Matreyek_2021,0.595,0.437,0.497,0.372,0.398,0.415,0.401,0.434,-0.073,0.461,0.348
PTEN_HUMAN_Mighell_2018,0.535,0.478,0.518,0.532,0.493,0.472,0.427,0.545,0.289,0.502,0.372
Q2N0S5_9HIV1_Haddox_2018,0.513,0.519,0.533,0.397,0.514,0.518,0.501,0.512,-0.015,0.58,0.56
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,0.633,0.584,0.567,0.348,0.306,0.32,0.295,0.346,-0.198,0.636,0.58
Q53Z42_HUMAN_McShan_2019_expression,0.659,0.541,0.624,0.54,0.465,0.562,0.538,0.566,-0.067,0.567,0.552
Q59976_STRSQ_Romero_2015,0.683,0.523,0.663,0.638,0.509,0.652,0.656,0.67,0.036,0.703,0.661
Q6WV13_9MAXI_Somermeyer_2022,0.404,0.048,0.511,0.254,0.039,0.362,0.264,0.302,0.0,0.536,0.279
Q837P4_ENTFA_Meier_2023,0.573,0.617,0.656,0.531,0.548,0.534,0.534,0.566,0.45,0.594,0.594
Q837P5_ENTFA_Meier_2023,0.627,0.332,0.546,0.482,0.343,0.319,0.472,0.467,0.0,0.614,0.59
Q8WTC7_9CNID_Somermeyer_2022,0.519,0.229,0.527,0.159,-0.019,0.351,0.297,0.32,0.026,0.462,0.308
R1AB_SARS2_Flynn_2022,0.597,0.282,0.192,0.245,-0.011,-0.016,0.402,0.58,0.251,0.314,0.393
RAD_ANTMA_Tsuboyama_2023_2CJJ,0.694,0.597,0.679,0.197,0.281,0.478,0.287,0.28,0.063,0.698,0.513
RAF1_HUMAN_Zinkus-Boltz_2019,0.443,0.239,0.476,0.388,0.427,0.479,0.4,0.448,0.066,0.381,0.268
RASH_HUMAN_Bandaru_2017,0.672,0.51,0.596,0.484,0.365,0.417,0.452,0.493,0.059,0.583,0.471
RASK_HUMAN_Weng_2022_abundance,0.644,0.528,0.568,0.152,0.07,0.164,0.278,0.206,-0.002,0.606,0.61
RASK_HUMAN_Weng_2022_binding-DARPin_K55,0.683,0.605,0.639,0.508,0.477,0.581,0.491,0.519,0.078,0.7,0.649
RBP1_HUMAN_Tsuboyama_2023_2KWH,0.871,0.8,0.672,0.349,0.475,0.206,0.384,0.353,0.09,0.734,0.618
RCD1_ARATH_Tsuboyama_2023_5OAO,0.843,0.786,0.729,0.284,0.183,0.259,0.253,0.3,-0.021,0.738,0.604
RCRO_LAMBD_Tsuboyama_2023_1ORC,0.746,0.593,0.643,0.435,0.36,0.474,0.392,0.453,0.142,0.708,0.585
RD23A_HUMAN_Tsuboyama_2023_1IFY,0.85,0.793,0.823,0.483,0.569,0.57,0.557,0.549,0.058,0.84,0.704
RDRP_I33A0_Li_2023,0.508,0.112,0.489,0.388,0.047,0.484,0.475,0.527,0.032,0.561,0.503
REV_HV1H2_Fernandes_2016,0.331,0.319,0.341,0.238,0.251,0.259,0.252,0.25,0.075,0.182,0.274
RFAH_ECOLI_Tsuboyama_2023_2LCL,0.711,0.587,0.636,0.312,0.239,0.272,0.233,0.255,-0.064,0.648,0.549
RL20_AQUAE_Tsuboyama_2023_1GYZ,0.659,0.491,0.445,0.297,0.378,0.231,0.334,0.321,0.086,0.445,0.449
RL40A_YEAST_Mavor_2016,0.62,0.428,0.507,0.451,0.315,0.416,0.417,0.444,0.304,0.493,0.386
RL40A_YEAST_Roscoe_2013,0.696,0.488,0.643,0.506,0.336,0.441,0.465,0.497,0.415,0.48,0.516
RL40A_YEAST_Roscoe_2014,0.605,0.366,0.503,0.398,0.246,0.389,0.401,0.39,0.101,0.514,0.29
RNC_ECOLI_Weeks_2023,0.669,0.656,0.661,0.582,0.573,0.588,0.555,0.612,0.146,0.712,0.626
RPC1_BP434_Tsuboyama_2023_1R69,0.875,0.826,0.83,0.492,0.675,0.562,0.642,0.545,0.323,0.827,0.705
RPC1_LAMBD_Li_2019_high-expression,0.505,0.46,0.486,0.491,0.457,0.472,0.455,0.489,0.205,0.483,0.414
RPC1_LAMBD_Li_2019_low-expression,0.614,0.487,0.629,0.503,0.48,0.426,0.465,0.501,0.228,0.57,0.434
RS15_GEOSE_Tsuboyama_2023_1A32,0.788,0.748,0.695,0.3,0.334,0.371,0.356,0.294,-0.161,0.657,0.606
S22A1_HUMAN_Yee_2023_abundance,0.728,0.621,0.602,0.575,0.602,0.6,0.631,0.635,-0.012,0.704,0.69
S22A1_HUMAN_Yee_2023_activity,0.695,0.586,0.55,0.57,0.543,0.548,0.59,0.602,0.021,0.672,0.64
SAV1_MOUSE_Tsuboyama_2023_2YSB,0.747,0.609,0.673,0.458,0.584,0.637,0.531,0.528,0.306,0.688,0.539
SBI_STAAM_Tsuboyama_2023_2JVG,0.742,0.536,0.756,0.369,0.263,0.545,0.319,0.4,0.18,0.747,0.505
SC6A4_HUMAN_Young_2021,0.613,0.547,0.582,0.45,0.539,0.582,0.538,0.56,0.232,0.618,0.544
SCIN_STAAR_Tsuboyama_2023_2QFF,0.752,0.588,0.713,0.284,0.339,0.282,0.176,0.28,-0.021,0.73,0.48
SCN5A_HUMAN_Glazer_2019,0.193,0.143,0.173,0.167,0.221,0.146,0.097,0.164,0.139,0.076,0.067
SDA_BACSU_Tsuboyama_2023_1PV0,0.84,0.643,0.734,0.537,0.405,0.581,0.498,0.55,-0.017,0.755,0.677
SERC_HUMAN_Xie_2023,0.619,0.53,0.546,0.551,0.537,0.551,0.55,0.558,0.04,0.561,0.555
SHOC2_HUMAN_Kwon_2022,0.522,0.434,0.407,0.398,0.396,0.404,0.378,0.41,0.062,0.502,0.437
SOX30_HUMAN_Tsuboyama_2023_7JJK,0.696,0.613,0.559,0.239,0.344,0.282,0.237,0.263,-0.085,0.644,0.407
SPA_STAAU_Tsuboyama_2023_1LP1,0.8,0.535,0.702,0.308,0.096,0.448,0.304,0.357,0.014,0.68,0.622
SPG1_STRSG_Olson_2014,0.554,0.528,0.261,0.067,0.221,0.288,0.256,0.259,0.309,0.28,0.45
SPG1_STRSG_Wu_2016,0.778,0.58,-0.518,-0.509,0.267,-0.654,-0.108,-0.258,-0.222,-0.235,0.2
SPG2_STRSG_Tsuboyama_2023_5UBS,0.79,0.671,0.623,0.181,0.191,0.08,0.071,0.23,0.039,0.618,0.49
SPIKE_SARS2_Starr_2020_binding,0.695,0.186,0.274,0.12,-0.083,0.38,0.306,0.308,-0.114,0.269,0.478
SPIKE_SARS2_Starr_2020_expression,0.779,0.127,0.555,0.279,-0.021,0.553,0.361,0.476,-0.019,0.446,0.312
SPTN1_CHICK_Tsuboyama_2023_1TUD,0.771,0.691,0.656,0.464,0.537,0.452,0.484,0.488,-0.04,0.664,0.6
SQSTM_MOUSE_Tsuboyama_2023_2RRU,0.878,0.694,0.833,0.622,0.395,0.613,0.605,0.637,0.051,0.861,0.746
SR43C_ARATH_Tsuboyama_2023_2N88,0.859,0.667,0.716,0.591,0.522,0.581,0.577,0.606,0.062,0.751,0.644
SRBS1_HUMAN_Tsuboyama_2023_2O2W,0.789,0.594,0.747,0.552,0.485,0.635,0.574,0.597,-0.092,0.762,0.635
SRC_HUMAN_Ahler_2019,0.654,0.573,0.434,0.479,0.572,0.387,0.502,0.526,0.22,0.357,0.475
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,0.536,0.479,0.496,0.424,0.476,0.469,0.401,0.433,-0.074,0.491,0.446
SRC_HUMAN_Nguyen_2022,0.581,0.513,0.507,0.429,0.481,0.473,0.4,0.429,0.024,0.484,0.427
SUMO1_HUMAN_Weile_2017,0.604,0.51,0.554,0.459,0.501,0.527,0.398,0.475,0.287,0.497,0.421
SYUA_HUMAN_Newberry_2020,0.503,0.531,0.494,0.165,0.28,0.177,0.19,0.19,-0.016,0.58,0.517
TADBP_HUMAN_Bolognesi_2019,0.654,0.71,0.65,0.069,0.033,0.013,0.089,0.067,-0.066,0.753,0.615
TAT_HV1BR_Fernandes_2016,0.512,0.474,0.517,0.289,0.389,0.364,0.244,0.283,0.279,0.54,0.374
TCRG1_MOUSE_Tsuboyama_2023_1E0L,0.849,0.82,0.621,0.341,0.708,0.539,0.529,0.486,-0.068,0.665,0.658
THO1_YEAST_Tsuboyama_2023_2WQG,0.764,0.523,0.588,0.26,0.368,0.392,0.231,0.251,0.025,0.646,0.428
TNKS2_HUMAN_Tsuboyama_2023_5JRT,0.846,0.774,0.718,0.566,0.606,0.472,0.562,0.586,0.173,0.722,0.659
TPK1_HUMAN_Weile_2017,0.321,0.313,0.356,0.223,0.266,0.274,0.297,0.27,-0.047,0.298,0.198
TPMT_HUMAN_Matreyek_2018,0.627,0.581,0.588,0.527,0.541,0.485,0.478,0.524,0.107,0.572,0.468
TPOR_HUMAN_Bridgford_2020,0.476,0.552,0.531,0.241,0.349,0.455,0.415,0.4,-0.149,0.532,0.499
TRPC_SACS2_Chan_2017,0.69,0.632,0.686,0.567,0.6,0.651,0.582,0.595,-0.082,0.683,0.609
TRPC_THEMA_Chan_2017,0.525,0.466,0.469,0.397,0.453,0.465,0.428,0.432,0.139,0.471,0.437
