DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
BLAT_ECOLX_Firnberg_2014,0.836,0.762,0.802,0.744,0.661,0.701,0.63,0.73,0.046,0.808,0.663
BLAT_ECOLX_Jacquier_2013,0.745,0.702,0.7,0.703,0.644,0.653,0.635,0.714,0.025,0.679,0.632
BLAT_ECOLX_Stiffler_2015,0.826,0.763,0.794,0.742,0.665,0.688,0.622,0.73,-0.038,0.788,0.672
BRCA1_HUMAN_Findlay_2018,0.618,0.456,0.501,0.428,0.405,0.498,0.514,0.534,-0.062,0.487,0.517
BRCA2_HUMAN_Erwood_2022_HEK293T,0.49,0.298,-0.167,0.434,0.139,-0.124,0.408,0.41,-0.248,-0.172,0.359
C6KNH7_9INFA_Lee_2018,0.702,0.537,0.433,0.356,0.427,0.401,0.432,0.451,0.007,0.622,0.608
CALM1_HUMAN_Weile_2017,0.193,0.242,0.278,0.233,0.236,0.251,0.267,0.247,0.02,0.203,0.21
CAPSD_AAV2S_Sinai_2021,0.618,0.496,0.685,0.551,0.156,0.573,0.516,0.539,0.125,0.69,0.679
CAR11_HUMAN_Meitlis_2020_gof,0.566,0.382,0.189,0.149,0.325,0.195,0.18,0.178,-0.016,0.478,0.384
CAR11_HUMAN_Meitlis_2020_lof,0.723,0.597,0.362,0.25,0.488,0.251,0.264,0.272,-0.087,0.578,0.538
CAS9_STRP1_Spencer_2017_positive,0.236,0.071,0.195,0.165,0.066,0.194,0.184,0.192,0.001,0.193,0.174
CASP3_HUMAN_Roychowdhury_2020,0.711,0.623,0.688,0.621,0.59,0.649,0.584,0.627,-0.017,0.641,0.561
CASP7_HUMAN_Roychowdhury_2020,0.677,0.607,0.654,0.617,0.605,0.634,0.585,0.627,-0.023,0.607,0.568
CATR_CHLRE_Tsuboyama_2023_2AMI,0.804,0.757,0.742,0.347,0.322,0.248,0.408,0.4,-0.011,0.819,0.76
CBPA2_HUMAN_Tsuboyama_2023_1O6X,0.776,0.667,0.71,0.411,0.406,0.441,0.46,0.457,-0.068,0.724,0.613
CBS_HUMAN_Sun_2020,0.45,0.375,0.377,0.381,0.342,0.371,0.325,0.361,0.014,0.455,0.396
CBX4_HUMAN_Tsuboyama_2023_2K28,0.809,0.578,0.766,0.519,0.474,0.614,0.515,0.58,-0.085,0.765,0.572
CCDB_ECOLI_Adkar_2012,0.639,0.489,0.684,0.55,0.35,0.441,0.454,0.523,-0.013,0.659,0.506
CCDB_ECOLI_Tripathi_2016,0.442,0.354,0.459,0.401,0.343,0.351,0.398,0.402,0.434,0.636,0.329
CCR5_HUMAN_Gill_2023,0.467,0.375,0.384,0.29,0.347,0.358,0.376,0.324,0.007,0.441,0.45
CD19_HUMAN_Klesmith_2019_FMC_singles,0.495,0.287,0.348,0.207,0.043,0.285,0.198,0.227,0.017,0.46,0.412
CP2C9_HUMAN_Amorosi_2021_abundance,0.763,0.645,0.613,0.611,0.588,0.589,0.623,0.632,0.01,0.714,0.698
CP2C9_HUMAN_Amorosi_2021_activity,0.816,0.685,0.674,0.646,0.643,0.599,0.639,0.651,0.087,0.759,0.738
CSN4_MOUSE_Tsuboyama_2023_1UFM,0.832,0.727,0.739,0.364,0.555,0.4,0.499,0.457,-0.037,0.786,0.654
CUE1_YEAST_Tsuboyama_2023_2MYX,0.766,0.66,0.782,0.505,0.377,0.491,0.405,0.499,0.155,0.78,0.582
D7PM05_CLYGR_Somermeyer_2022,0.701,0.291,0.702,0.505,0.003,0.597,0.403,0.522,0.071,0.689,0.455
DLG4_HUMAN_Faure_2021,0.66,0.629,0.516,0.415,0.4,0.494,0.608,0.59,-0.025,0.516,0.663
DLG4_RAT_McLaughlin_2012,0.634,0.601,0.53,0.488,0.56,0.495,0.442,0.541,0.05,0.577,0.529
DN7A_SACS2_Tsuboyama_2023_1JIC,0.752,0.519,0.73,0.217,0.113,0.313,0.203,0.224,-0.023,0.757,0.553
DNJA1_HUMAN_Tsuboyama_2023_2LO1,0.82,0.749,0.723,0.433,0.397,0.315,0.557,0.473,0.158,0.772,0.724
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.757,0.681,0.72,0.379,0.558,0.54,0.506,0.452,-0.08,0.725,0.55
DYR_ECOLI_Nguyen_2023,0.554,0.502,0.563,0.453,0.528,0.471,0.357,0.416,0.069,0.587,0.408
DYR_ECOLI_Thompson_2019,0.546,0.459,0.573,0.47,0.416,0.487,0.421,0.479,0.095,0.529,0.43
ENV_HV1B9_DuenasDecamp_2016,0.116,0.434,0.359,0.362,0.432,0.383,0.417,0.388,0.168,0.3,0.405
ENV_HV1BR_Haddox_2016,0.355,0.321,0.339,0.322,0.319,0.344,0.364,0.366,0.024,0.337,0.368
ENVZ_ECOLI_Ghose_2023,0.235,0.164,0.231,0.188,0.211,0.19,0.229,0.211,-0.002,0.211,0.131
EPHB2_HUMAN_Tsuboyama_2023_1F0M,0.817,0.743,0.785,0.552,0.624,0.568,0.576,0.591,0.078,0.817,0.634
ERBB2_HUMAN_Elazar_2016,0.653,0.643,0.625,0.247,0.466,0.411,0.483,0.436,-0.079,0.548,0.658
ESTA_BACSU_Nutschel_2020,0.589,0.388,0.548,0.423,0.3,0.435,0.329,0.403,-0.103,0.511,0.34
F7YBW7_MESOW_Ding_2023,0.337,0.292,0.48,0.228,0.317,0.434,0.51,0.417,-0.361,0.377,0.479
F7YBW8_MESOW_Aakre_2015,0.313,0.671,0.491,0.238,0.652,0.444,0.636,0.492,-0.418,0.342,0.495
FECA_ECOLI_Tsuboyama_2023_2D1U,0.824,0.481,0.702,0.429,0.236,0.438,0.275,0.338,0.034,0.719,0.465
FKBP3_HUMAN_Tsuboyama_2023_2KFV,0.688,0.392,0.63,0.494,0.169,0.284,0.342,0.416,0.078,0.663,0.53
GAL4_YEAST_Kitzman_2015,0.671,0.46,0.629,0.569,0.462,0.58,0.564,0.511,0.164,0.612,0.48
GCN4_YEAST_Staller_2018,0.631,0.181,0.582,0.608,0.459,0.614,0.575,0.627,0.238,0.41,0.435
GDIA_HUMAN_Silverstein_2021,0.524,0.469,0.527,0.443,0.421,0.456,0.434,0.458,0.012,0.506,0.427
GFP_AEQVI_Sarkisyan_2016,0.492,0.244,0.493,0.473,0.044,0.442,0.412,0.521,-0.037,0.562,0.398
GLPA_HUMAN_Elazar_2016,0.459,0.573,0.473,0.219,0.394,0.352,0.434,0.395,0.162,0.488,0.65
GRB2_HUMAN_Faure_2021,0.824,0.698,0.617,0.556,0.573,0.589,0.502,0.59,0.179,0.638,0.534
HCP_LAMBD_Tsuboyama_2023_2L6Q,0.826,0.762,0.73,0.159,0.46,0.366,0.534,0.512,0.036,0.725,0.668
HECD1_HUMAN_Tsuboyama_2023_3DKM,0.825,0.563,0.828,0.608,0.267,0.666,0.543,0.602,0.157,0.819,0.681
HEM3_HUMAN_Loggerenberg_2023,0.494,0.419,0.449,0.408,0.376,0.433,0.436,0.44,-0.029,0.48,0.467
HIS7_YEAST_Pokusaeva_2019,0.009,-0.02,-0.051,0.083,0.087,0.064,0.07,0.07,-0.015,-0.106,-0.101
HMDH_HUMAN_Jiang_2019,0.66,0.582,0.305,0.393,0.34,0.269,0.326,0.358,-0.001,0.641,0.6
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,0.45,0.414,0.467,0.361,0.405,0.436,0.354,0.37,-0.006,0.489,0.416
HSP82_YEAST_Flynn_2019,0.516,0.411,0.426,0.409,0.393,0.424,0.411,0.424,0.009,0.513,0.481
HSP82_YEAST_Mishra_2016,0.603,0.571,0.487,0.544,0.54,0.474,0.525,0.547,-0.082,0.592,0.55
HXK4_HUMAN_Gersing_2022_activity,0.65,0.518,0.552,0.488,0.463,0.523,0.443,0.491,0.012,0.618,0.536
HXK4_HUMAN_Gersing_2023_abundance,0.572,0.438,0.427,0.351,0.332,0.404,0.358,0.369,-0.002,0.557,0.48
I6TAH8_I68A0_Doud_2015,0.487,0.188,0.346,0.263,0.02,0.322,0.347,0.4,0.026,0.42,0.445
IF1_ECOLI_Kelsic_2016,0.564,0.52,0.504,0.541,0.536,0.24,0.492,0.536,0.135,0.52,0.585
ILF3_HUMAN_Tsuboyama_2023_2L33,0.649,0.621,0.666,0.431,0.362,0.421,0.401,0.435,-0.051,0.741,0.623
ISDH_STAAW_Tsuboyama_2023_2LHR,0.783,0.633,0.517,0.004,0.288,0.169,0.044,0.049,0.049,0.555,0.369
KCNE1_HUMAN_Muhammad_2023_expression,0.585,0.601,0.459,0.118,0.162,0.068,0.11,0.115,0.095,0.561,0.563
KCNE1_HUMAN_Muhammad_2023_function,0.691,0.657,0.674,0.489,0.472,0.479,0.618,0.633,0.036,0.672,0.674
KCNH2_HUMAN_Kozek_2020,0.469,0.488,0.391,0.262,0.184,0.293,0.54,0.502,0.307,0.415,0.385
KCNJ2_MOUSE_Coyote-Maestas_2022_function,0.458,0.348,0.349,0.342,0.347,0.31,0.289,0.334,0.039,0.435,0.374
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,0.507,0.418,0.408,0.264,0.286,0.298,0.327,0.339,0.004,0.484,0.457
KKA2_KLEPN_Melnikov_2014,0.741,0.664,0.701,0.62,0.595,0.592,0.583,0.628,-0.03,0.674,0.632
LGK_LIPST_Klesmith_2015,0.682,0.592,0.618,0.494,0.536,0.559,0.525,0.54,0.005,0.689,0.594
LYAM1_HUMAN_Elazar_2016,0.585,0.554,0.551,0.205,0.369,0.412,0.339,0.311,0.247,0.489,0.509
MAFG_MOUSE_Tsuboyama_2023_1K1V,0.814,0.593,0.527,0.222,0.349,0.224,0.45,0.399,-0.035,0.557,0.578
MBD11_ARATH_Tsuboyama_2023_6ACV,0.785,0.562,0.707,0.447,0.183,0.44,0.384,0.467,0.125,0.75,0.555
MET_HUMAN_Estevam_2023,0.639,0.59,0.618,0.565,0.55,0.602,0.565,0.575,0.1,0.601,0.6
MK01_HUMAN_Brenan_2016,0.512,0.312,0.335,0.238,0.164,0.134,0.087,0.199,-0.008,0.448,0.343
MLAC_ECOLI_MacRae_2023,0.639,0.558,0.579,0.422,0.397,0.418,0.315,0.395,0.025,0.606,0.525
MSH2_HUMAN_Jia_2020,0.561,0.384,0.395,0.377,0.38,0.396,0.347,0.384,-0.026,0.548,0.469
MTH3_HAEAE_RockahShmuel_2015,0.736,0.706,0.706,0.714,0.687,0.674,0.633,0.71,0.006,0.661,0.621
MTHR_HUMAN_Weile_2021,0.631,0.501,0.291,0.255,0.29,0.29,0.254,0.268,0.01,0.622,0.561
MYO3_YEAST_Tsuboyama_2023_2BTT,0.81,0.621,0.648,0.343,0.445,0.412,0.296,0.362,0.01,0.651,0.518
NCAP_I34A1_Doud_2015,0.505,0.161,0.358,0.33,0.018,0.357,0.424,0.441,-0.024,0.431,0.457
NKX31_HUMAN_Tsuboyama_2023_2L9R,0.817,0.759,0.792,0.594,0.532,0.598,0.593,0.625,0.135,0.82,0.721
NPC1_HUMAN_Erwood_2022_HEK293T,0.777,0.448,0.748,0.63,0.327,0.736,0.692,0.722,-0.103,0.733,0.709
NPC1_HUMAN_Erwood_2022_RPE1,0.71,0.225,0.761,0.549,0.268,0.755,0.77,0.74,0.441,0.734,0.663
NRAM_I33A0_Jiang_2016,0.725,0.356,0.729,0.482,0.147,0.619,0.613,0.625,0.106,0.729,0.727
NUD15_HUMAN_Suiter_2020,0.685,0.629,0.719,0.595,0.6,0.671,0.604,0.633,-0.001,0.72,0.615
NUSA_ECOLI_Tsuboyama_2023_1WCL,0.88,0.774,0.806,0.429,0.338,0.375,0.463,0.502,0.019,0.837,0.732
NUSG_MYCTU_Tsuboyama_2023_2MI6,0.895,0.758,0.847,0.495,0.314,0.503,0.481,0.488,0.095,0.866,0.746
OBSCN_HUMAN_Tsuboyama_2023_1V1C,0.836,0.72,0.768,0.636,0.584,0.617,0.552,0.628,0.055,0.768,0.609
ODP2_GEOSE_Tsuboyama_2023_1W4G,0.734,0.2,0.633,0.389,0.102,0.45,0.399,0.415,0.066,0.645,0.416
OPSD_HUMAN_Wan_2019,0.734,0.655,0.706,0.547,0.51,0.582,0.517,0.507,0.153,0.695,0.66
OTC_HUMAN_Lo_2023,0.806,0.705,0.768,0.518,0.575,0.573,0.612,0.597,0.062,0.783,0.664
OTU7A_HUMAN_Tsuboyama_2023_2L2D,0.807,0.805,0.461,0.216,0.624,0.253,0.301,0.267,0.095,0.55,0.463
OXDA_RHOTO_Vanella_2023_activity,0.529,0.405,0.438,0.371,0.339,0.345,0.305,0.355,-0.017,0.455,0.355
OXDA_RHOTO_Vanella_2023_expression,0.614,0.432,0.468,0.287,0.299,0.306,0.267,0.278,0.032,0.52,0.413
P53_HUMAN_Giacomelli_2018_Null_Etoposide,0.706,0.578,0.541,0.341,0.458,0.308,0.398,0.411,0.06,0.671,0.602
P53_HUMAN_Giacomelli_2018_Null_Nutlin,0.693,0.573,0.62,0.299,0.447,0.306,0.378,0.381,0.003,0.641,0.613
P53_HUMAN_Giacomelli_2018_WT_Nutlin,0.859,0.759,0.742,0.362,0.496,0.291,0.432,0.437,0.005,0.843,0.784
P53_HUMAN_Kotler_2018,0.744,0.589,0.629,0.558,0.535,0.58,0.559,0.578,0.049,0.593,0.593
P84126_THETH_Chan_2017,0.724,0.645,0.724,0.619,0.556,0.639,0.549,0.583,0.122,0.679,0.576
PA_I34A1_Wu_2015,0.457,0.105,0.192,0.504,0.051,0.304,0.569,0.58,0.006,0.261,0.588
PABP_YEAST_Melamed_2013,0.749,0.728,0.727,0.535,0.658,0.676,0.656,0.662,-0.018,0.72,0.724
PAI1_HUMAN_Huttinger_2021,0.544,0.414,0.489,0.392,0.407,0.438,0.411,0.425,0.006,0.538,0.447
PHOT_CHLRE_Chen_2023,0.676,0.647,0.659,0.613,0.616,0.598,0.564,0.59,0.019,0.645,0.586
PIN1_HUMAN_Tsuboyama_2023_1I6C,0.826,0.691,0.769,0.615,0.558,0.655,0.669,0.696,-0.092,0.762,0.761
PITX2_HUMAN_Tsuboyama_2023_2L7M,0.765,0.608,0.711,0.512,0.454,0.559,0.519,0.522,-0.008,0.677,0.59
PKN1_HUMAN_Tsuboyama_2023_1URF,0.684,0.56,0.603,0.224,0.288,0.219,0.305,0.285,0.009,0.68,0.574
POLG_CXB3N_Mattenberger_2021,0.564,0.232,0.5,0.407,-0.06,0.499,0.409,0.455,-0.019,0.583,0.496
POLG_DEN26_Suphatrakul_2023,0.656,0.254,0.505,0.285,-0.005,0.442,0.543,0.565,0.031,0.684,0.597
POLG_HCVJF_Qi_2014,0.594,0.563,0.678,0.403,0.607,0.564,0.587,0.58,-0.058,0.664,0.56
POLG_PESV_Tsuboyama_2023_2MXD,0.724,0.545,0.687,0.202,0.049,0.445,0.124,0.2,0.033,0.709,0.505
PPARG_HUMAN_Majithia_2016,0.884,0.807,0.677,0.654,0.696,0.608,0.637,0.68,0.016,0.866,0.807
PPM1D_HUMAN_Miller_2022,0.663,0.602,0.545,0.535,0.598,0.537,0.592,0.617,0.026,0.63,0.612
PR40A_HUMAN_Tsuboyama_2023_1UZC,0.745,0.531,0.79,0.438,0.238,0.588,0.473,0.51,0.11,0.782,0.576
PRKN_HUMAN_Clausen_2023,0.749,0.66,0.502,0.586,0.598,0.5,0.64,0.654,0.035,0.676,0.684
PSAE_SYNP2_Tsuboyama_2023_1PSE,0.731,0.659,0.521,0.336,0.385,0.189,0.228,0.286,0.017,0.588,0.533
PTEN_HUMAN_Matreyek_2021,0.663,0.519,0.546,0.388,0.407,0.432,0.411,0.445,0.011,0.604,0.571
PTEN_HUMAN_Mighell_2018,0.589,0.502,0.509,0.516,0.467,0.455,0.415,0.53,0.0,0.562,0.468
Q2N0S5_9HIV1_Haddox_2018,0.629,0.517,0.531,0.393,0.509,0.512,0.499,0.512,0.022,0.599,0.633
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,0.647,0.591,0.572,0.356,0.302,0.316,0.296,0.353,-0.06,0.604,0.6
Q53Z42_HUMAN_McShan_2019_expression,0.658,0.535,0.618,0.54,0.468,0.559,0.533,0.565,-0.025,0.591,0.554
Q59976_STRSQ_Romero_2015,0.722,0.568,0.663,0.644,0.52,0.655,0.657,0.675,0.018,0.7,0.67
Q6WV13_9MAXI_Somermeyer_2022,0.471,0.177,0.528,0.256,0.048,0.355,0.262,0.303,0.085,0.589,0.278
Q837P4_ENTFA_Meier_2023,0.636,0.63,0.611,0.506,0.545,0.529,0.52,0.551,0.19,0.675,0.623
Q837P5_ENTFA_Meier_2023,0.605,0.392,0.503,0.454,0.327,0.326,0.465,0.449,-0.078,0.571,0.58
Q8WTC7_9CNID_Somermeyer_2022,0.534,0.238,0.482,0.142,-0.003,0.348,0.275,0.307,0.013,0.439,0.273
R1AB_SARS2_Flynn_2022,0.642,0.332,0.242,0.234,-0.03,-0.037,0.399,0.565,0.0,0.419,0.591
RAD_ANTMA_Tsuboyama_2023_2CJJ,0.707,0.606,0.666,0.187,0.294,0.466,0.274,0.257,-0.095,0.688,0.494
RAF1_HUMAN_Zinkus-Boltz_2019,0.423,0.338,0.463,0.375,0.408,0.47,0.386,0.426,0.167,0.376,0.266
RASH_HUMAN_Bandaru_2017,0.719,0.611,0.614,0.475,0.351,0.41,0.451,0.488,0.113,0.61,0.612
RASK_HUMAN_Weng_2022_abundance,0.653,0.54,0.618,0.153,0.078,0.165,0.283,0.21,0.104,0.632,0.628
RASK_HUMAN_Weng_2022_binding-DARPin_K55,0.703,0.618,0.658,0.502,0.474,0.579,0.488,0.515,0.01,0.711,0.68
RBP1_HUMAN_Tsuboyama_2023_2KWH,0.871,0.807,0.682,0.326,0.462,0.177,0.369,0.332,0.062,0.739,0.646
RCD1_ARATH_Tsuboyama_2023_5OAO,0.835,0.789,0.729,0.289,0.18,0.274,0.245,0.305,-0.113,0.736,0.608
RCRO_LAMBD_Tsuboyama_2023_1ORC,0.781,0.608,0.712,0.454,0.359,0.486,0.409,0.464,0.169,0.723,0.59
RD23A_HUMAN_Tsuboyama_2023_1IFY,0.829,0.799,0.806,0.448,0.567,0.568,0.537,0.524,-0.172,0.839,0.676
RDRP_I33A0_Li_2023,0.548,0.126,0.488,0.388,0.046,0.486,0.474,0.526,0.037,0.582,0.514
REV_HV1H2_Fernandes_2016,0.407,0.377,0.389,0.235,0.253,0.257,0.242,0.242,0.063,0.296,0.334
RFAH_ECOLI_Tsuboyama_2023_2LCL,0.707,0.607,0.65,0.314,0.242,0.278,0.222,0.262,-0.134,0.641,0.577
RL20_AQUAE_Tsuboyama_2023_1GYZ,0.611,0.506,0.447,0.256,0.356,0.213,0.291,0.272,-0.049,0.413,0.416
RL40A_YEAST_Mavor_2016,0.609,0.533,0.534,0.41,0.273,0.379,0.386,0.403,-0.001,0.511,0.422
RL40A_YEAST_Roscoe_2013,0.725,0.673,0.727,0.466,0.299,0.411,0.442,0.462,0.019,0.668,0.641
RL40A_YEAST_Roscoe_2014,0.601,0.395,0.451,0.375,0.234,0.368,0.402,0.377,0.093,0.436,0.425
RNC_ECOLI_Weeks_2023,0.673,0.652,0.672,0.581,0.575,0.59,0.547,0.605,-0.029,0.706,0.636
RPC1_BP434_Tsuboyama_2023_1R69,0.883,0.827,0.837,0.536,0.675,0.566,0.644,0.567,0.283,0.832,0.716
RPC1_LAMBD_Li_2019_high-expression,0.553,0.429,0.47,0.502,0.461,0.474,0.472,0.498,0.135,0.439,0.42
RPC1_LAMBD_Li_2019_low-expression,0.582,0.492,0.624,0.507,0.466,0.431,0.47,0.507,0.24,0.529,0.447
RS15_GEOSE_Tsuboyama_2023_1A32,0.797,0.776,0.725,0.34,0.363,0.406,0.372,0.326,-0.023,0.734,0.631
S22A1_HUMAN_Yee_2023_abundance,0.738,0.628,0.606,0.574,0.602,0.6,0.631,0.635,-0.035,0.723,0.687
S22A1_HUMAN_Yee_2023_activity,0.707,0.596,0.551,0.568,0.542,0.547,0.59,0.601,-0.017,0.685,0.645
SAV1_MOUSE_Tsuboyama_2023_2YSB,0.73,0.59,0.64,0.439,0.57,0.609,0.502,0.494,0.058,0.694,0.548
SBI_STAAM_Tsuboyama_2023_2JVG,0.738,0.572,0.739,0.341,0.257,0.54,0.306,0.381,0.072,0.74,0.558
SC6A4_HUMAN_Young_2021,0.668,0.55,0.568,0.433,0.53,0.568,0.53,0.544,-0.009,0.656,0.619
SCIN_STAAR_Tsuboyama_2023_2QFF,0.779,0.636,0.741,0.269,0.31,0.267,0.15,0.256,-0.037,0.759,0.541
SCN5A_HUMAN_Glazer_2019,0.184,0.131,0.156,0.178,0.218,0.137,0.081,0.169,-0.118,0.099,0.127
SDA_BACSU_Tsuboyama_2023_1PV0,0.859,0.706,0.788,0.553,0.43,0.59,0.514,0.572,-0.06,0.763,0.669
SERC_HUMAN_Xie_2023,0.607,0.538,0.557,0.543,0.534,0.546,0.543,0.551,-0.055,0.552,0.549
SHOC2_HUMAN_Kwon_2022,0.539,0.431,0.391,0.383,0.384,0.391,0.366,0.396,0.027,0.513,0.467
SOX30_HUMAN_Tsuboyama_2023_7JJK,0.724,0.66,0.574,0.239,0.346,0.27,0.223,0.256,0.003,0.674,0.443
SPA_STAAU_Tsuboyama_2023_1LP1,0.794,0.521,0.721,0.287,0.09,0.443,0.294,0.342,0.013,0.702,0.617
SPG1_STRSG_Olson_2014,0.559,0.66,0.253,0.051,0.247,0.289,0.296,0.3,-0.055,0.247,0.607
SPG1_STRSG_Wu_2016,0.778,0.58,-0.518,-0.509,0.29,-0.654,-0.108,-0.258,-0.222,-0.235,0.243
SPG2_STRSG_Tsuboyama_2023_5UBS,0.808,0.646,0.631,0.192,0.179,0.098,0.087,0.249,-0.017,0.65,0.499
SPIKE_SARS2_Starr_2020_binding,0.706,0.233,0.338,0.163,-0.057,0.418,0.315,0.343,0.132,0.344,0.507
SPIKE_SARS2_Starr_2020_expression,0.778,0.236,0.557,0.281,-0.021,0.555,0.367,0.475,0.026,0.61,0.565
SPTN1_CHICK_Tsuboyama_2023_1TUD,0.745,0.676,0.638,0.454,0.526,0.44,0.478,0.483,0.041,0.661,0.605
SQSTM_MOUSE_Tsuboyama_2023_2RRU,0.864,0.698,0.826,0.623,0.394,0.605,0.603,0.634,0.116,0.862,0.766
SR43C_ARATH_Tsuboyama_2023_2N88,0.858,0.654,0.698,0.541,0.489,0.549,0.536,0.563,0.081,0.726,0.624
SRBS1_HUMAN_Tsuboyama_2023_2O2W,0.775,0.596,0.75,0.56,0.507,0.633,0.574,0.601,-0.046,0.754,0.628
SRC_HUMAN_Ahler_2019,0.65,0.596,0.407,0.463,0.562,0.371,0.493,0.516,0.003,0.491,0.531
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,0.54,0.5,0.502,0.424,0.476,0.467,0.396,0.431,-0.099,0.455,0.447
SRC_HUMAN_Nguyen_2022,0.592,0.524,0.517,0.425,0.48,0.47,0.398,0.428,-0.061,0.497,0.439
SUMO1_HUMAN_Weile_2017,0.588,0.496,0.56,0.437,0.468,0.498,0.415,0.465,0.049,0.487,0.463
SYUA_HUMAN_Newberry_2020,0.562,0.596,0.574,0.127,0.238,0.147,0.156,0.151,0.054,0.581,0.583
TADBP_HUMAN_Bolognesi_2019,0.761,0.774,0.708,0.09,0.053,0.036,0.121,0.105,-0.013,0.766,0.729
TAT_HV1BR_Fernandes_2016,0.423,0.464,0.486,0.266,0.338,0.326,0.237,0.266,-0.013,0.458,0.424
TCRG1_MOUSE_Tsuboyama_2023_1E0L,0.849,0.812,0.648,0.345,0.711,0.547,0.538,0.493,0.102,0.704,0.691
THO1_YEAST_Tsuboyama_2023_2WQG,0.765,0.544,0.669,0.299,0.355,0.391,0.262,0.29,0.094,0.709,0.505
TNKS2_HUMAN_Tsuboyama_2023_5JRT,0.847,0.761,0.732,0.556,0.594,0.482,0.558,0.575,-0.11,0.742,0.677
TPK1_HUMAN_Weile_2017,0.348,0.315,0.368,0.225,0.268,0.276,0.303,0.275,-0.021,0.314,0.248
TPMT_HUMAN_Matreyek_2018,0.61,0.554,0.564,0.509,0.516,0.475,0.478,0.514,0.055,0.529,0.527
TPOR_HUMAN_Bridgford_2020,0.516,0.538,0.488,0.256,0.371,0.473,0.445,0.434,-0.056,0.526,0.48
TRPC_SACS2_Chan_2017,0.678,0.662,0.696,0.576,0.611,0.66,0.593,0.603,0.053,0.64,0.614
TRPC_THEMA_Chan_2017,0.58,0.501,0.55,0.418,0.482,0.476,0.44,0.445,-0.005,0.585,0.484
