DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
BCHB_CHLTE_Tsuboyama_2023_2KRU,0.39,0.712,0.563,0.964,0.985,0.844,0.929,0.954,1.084,0.51,0.837
BLAT_ECOLX_Deng_2012,0.649,0.764,0.688,0.744,0.761,0.747,0.82,0.742,1.009,0.839,0.864
BLAT_ECOLX_Firnberg_2014,0.335,0.482,0.397,0.502,0.595,0.56,0.693,0.528,1.005,0.391,0.646
BLAT_ECOLX_Jacquier_2013,0.37,0.444,0.406,0.534,0.574,0.56,0.59,0.509,1.016,0.412,0.536
BLAT_ECOLX_Stiffler_2015,0.329,0.456,0.377,0.515,0.579,0.557,0.669,0.525,1.006,0.409,0.581
BRCA1_HUMAN_Findlay_2018,0.547,0.699,0.778,0.877,0.739,0.782,0.723,0.725,1.014,0.747,0.747
BRCA2_HUMAN_Erwood_2022_HEK293T,0.659,1.079,1.195,1.061,1.289,1.306,1.088,1.097,1.236,1.292,1.001
C6KNH7_9INFA_Lee_2018,0.51,0.726,0.811,0.87,0.825,0.838,0.815,0.802,1.002,0.628,0.653
CALM1_HUMAN_Weile_2017,0.971,0.985,0.932,0.949,0.954,0.941,0.936,0.941,1.01,1.24,1.152
CAPSD_AAV2S_Sinai_2021,0.597,0.733,0.553,0.701,1.059,0.706,0.799,0.758,1.059,0.598,0.604
CAR11_HUMAN_Meitlis_2020_gof,0.786,0.902,0.999,1.043,0.968,1.012,1.033,1.036,1.016,0.902,0.994
CAR11_HUMAN_Meitlis_2020_lof,0.492,0.67,0.893,0.968,0.786,0.953,0.969,0.961,1.012,0.756,0.767
CAS9_STRP1_Spencer_2017_positive,0.959,1.002,0.972,0.998,1.016,0.983,0.992,0.988,1.002,0.972,0.982
CASP3_HUMAN_Roychowdhury_2020,0.51,0.612,0.545,0.634,0.653,0.588,0.886,0.641,1.005,0.684,1.331
CASP7_HUMAN_Roychowdhury_2020,0.585,0.675,0.617,0.665,0.675,0.649,0.762,0.685,1.004,0.7,0.784
CATR_CHLRE_Tsuboyama_2023_2AMI,0.302,0.362,0.426,0.819,0.889,0.969,0.779,0.791,1.02,0.333,0.329
CBPA2_HUMAN_Tsuboyama_2023_1O6X,0.238,0.398,0.365,0.803,0.724,0.713,0.694,0.736,1.029,0.311,0.515
CBS_HUMAN_Sun_2020,0.794,0.863,0.866,0.865,0.892,0.873,0.925,0.889,1.001,0.792,0.859
CBX4_HUMAN_Tsuboyama_2023_2K28,0.323,0.631,0.409,0.78,0.803,0.639,0.734,0.667,1.039,0.367,0.692
CCDB_ECOLI_Adkar_2012,0.585,0.817,0.581,0.738,0.961,0.829,0.791,0.722,1.042,0.638,0.803
CCDB_ECOLI_Tripathi_2016,0.617,0.762,0.541,0.753,0.873,0.774,0.686,0.69,1.044,0.658,0.819
CCR5_HUMAN_Gill_2023,0.773,0.84,0.845,0.922,0.882,0.87,0.848,0.888,1.005,0.807,0.803
CD19_HUMAN_Klesmith_2019_FMC_singles,0.717,0.946,0.923,0.984,1.015,0.972,0.988,0.978,1.01,0.834,0.816
CP2C9_HUMAN_Amorosi_2021_abundance,0.355,0.557,0.636,0.652,0.654,0.661,0.599,0.604,1.004,0.446,0.459
CP2C9_HUMAN_Amorosi_2021_activity,0.357,0.548,0.574,0.615,0.602,0.657,0.629,0.614,1.003,0.448,0.5
CSN4_MOUSE_Tsuboyama_2023_1UFM,0.274,0.438,0.374,0.851,0.666,0.828,0.705,0.747,1.025,0.304,0.505
CUE1_YEAST_Tsuboyama_2023_2MYX,0.414,0.59,0.437,0.79,0.884,0.8,0.887,0.794,1.053,0.436,0.708
D7PM05_CLYGR_Somermeyer_2022,0.556,0.974,0.531,0.812,1.026,0.709,0.889,0.805,1.012,0.544,0.893
DLG4_HUMAN_Faure_2021,0.563,0.581,0.73,0.852,0.842,0.753,0.61,0.657,1.006,0.78,0.562
DLG4_RAT_McLaughlin_2012,0.621,0.632,0.766,0.833,0.737,0.82,0.805,0.773,1.044,0.667,0.68
DN7A_SACS2_Tsuboyama_2023_1JIC,0.356,0.76,0.466,1.036,1.064,0.992,1.038,1.039,1.095,0.433,0.68
DNJA1_HUMAN_Tsuboyama_2023_2LO1,0.225,0.323,0.375,0.801,0.843,0.911,0.616,0.733,1.035,0.289,0.344
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.472,0.554,0.52,0.949,0.684,0.699,0.752,0.806,1.029,0.501,0.809
DYR_ECOLI_Nguyen_2023,0.503,0.597,0.543,0.725,0.632,0.743,0.843,0.766,1.023,0.579,0.833
DYR_ECOLI_Thompson_2019,0.647,0.769,0.659,0.768,0.804,0.765,0.845,0.774,1.009,0.744,0.981
ENV_HV1B9_DuenasDecamp_2016,1.105,0.953,0.937,0.931,0.869,0.932,0.871,0.883,1.123,1.106,0.983
ENV_HV1BR_Haddox_2016,0.932,0.963,0.95,0.958,0.968,0.959,0.949,0.948,1.001,0.954,0.944
ENVZ_ECOLI_Ghose_2023,0.907,1.167,0.962,0.969,0.914,0.922,0.873,0.932,1.03,1.174,1.203
EPHB2_HUMAN_Tsuboyama_2023_1F0M,0.211,0.315,0.262,0.709,0.529,0.615,0.662,0.656,1.04,0.222,0.509
ERBB2_HUMAN_Elazar_2016,0.665,0.716,0.668,1.167,0.958,1.048,0.893,0.994,1.119,0.849,0.6
ESTA_BACSU_Nutschel_2020,0.665,0.9,0.736,0.844,0.941,0.849,0.95,0.878,1.018,0.815,0.998
F7YBW7_MESOW_Ding_2023,9.302,1.933,1.663,2.031,1.937,1.518,1.851,1.946,2.402,2.191,2.022
F7YBW8_MESOW_Aakre_2015,2.338,1.299,2.475,1.794,1.967,2.13,1.386,1.521,3.314,3.154,0.576
FECA_ECOLI_Tsuboyama_2023_2D1U,0.369,0.877,0.581,0.864,0.985,0.859,0.964,0.924,1.027,0.553,0.891
FKBP3_HUMAN_Tsuboyama_2023_2KFV,0.501,0.885,0.539,0.835,1.022,0.939,0.939,0.878,1.057,0.49,0.642
GAL4_YEAST_Kitzman_2015,0.622,0.87,0.664,0.762,0.807,0.728,0.814,0.87,1.012,0.718,0.865
GCN4_YEAST_Staller_2018,2.469,3.733,1.977,2.366,2.706,2.692,2.897,2.621,2.716,2.223,2.384
GDIA_HUMAN_Silverstein_2021,0.658,0.674,0.68,0.802,0.762,0.795,0.736,0.74,1.015,0.741,0.809
GFP_AEQVI_Sarkisyan_2016,0.656,0.831,0.825,0.917,1.045,0.926,0.907,0.862,1.045,0.777,0.756
GLPA_HUMAN_Elazar_2016,0.893,0.91,0.904,1.02,0.903,0.94,0.931,0.946,1.053,0.93,0.718
GRB2_HUMAN_Faure_2021,0.304,0.52,0.663,0.717,0.683,0.662,0.792,0.683,1.034,0.682,0.855
HCP_LAMBD_Tsuboyama_2023_2L6Q,0.233,0.363,0.37,1.015,0.838,0.881,0.701,0.724,1.043,0.349,0.431
HECD1_HUMAN_Tsuboyama_2023_3DKM,0.332,0.664,0.333,0.675,0.925,0.607,0.744,0.675,1.024,0.344,0.565
HEM3_HUMAN_Loggerenberg_2023,0.75,0.815,0.79,0.838,0.855,0.807,0.849,0.82,1.001,0.764,0.797
HIS7_YEAST_Pokusaeva_2019,1.625,1.486,2.01,1.29,1.249,1.242,1.193,1.28,1.335,1.245,1.602
HMDH_HUMAN_Jiang_2019,0.548,0.655,0.917,0.869,0.886,0.937,0.952,0.908,1.001,0.556,0.639
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,0.873,0.954,0.915,0.978,0.975,0.942,0.975,0.969,1.083,0.911,0.912
HSP82_YEAST_Flynn_2019,0.572,0.775,0.793,0.798,0.805,0.796,0.764,0.767,1.003,0.596,0.637
HSP82_YEAST_Mishra_2016,0.431,0.563,0.767,0.705,0.698,0.786,0.648,0.647,1.023,0.637,0.56
HXK4_HUMAN_Gersing_2022_activity,0.646,0.809,0.793,0.848,0.866,0.818,0.931,0.871,1.005,0.714,0.803
HXK4_HUMAN_Gersing_2023_abundance,0.59,0.769,0.8,0.867,0.89,0.828,0.973,0.917,1.002,0.61,0.724
I6TAH8_I68A0_Doud_2015,0.759,1.037,0.876,0.951,1.013,0.891,0.886,0.852,1.002,0.876,0.864
IF1_ECOLI_Kelsic_2016,0.621,0.731,0.6,0.667,0.711,0.856,0.632,0.672,1.041,0.797,0.645
ILF3_HUMAN_Tsuboyama_2023_2L33,0.45,0.396,0.325,0.861,0.849,0.798,0.814,0.827,1.095,0.311,0.446
ISDH_STAAW_Tsuboyama_2023_2LHR,0.368,0.654,0.786,1.062,0.96,1.012,1.047,1.058,1.035,0.664,0.976
KCNE1_HUMAN_Muhammad_2023_expression,0.654,0.633,0.848,1.014,0.998,1.017,0.993,0.994,1.01,0.683,0.642
KCNE1_HUMAN_Muhammad_2023_function,0.469,0.498,0.464,0.771,0.682,0.744,0.574,0.551,1.005,0.475,0.49
KCNH2_HUMAN_Kozek_2020,0.856,0.885,1.028,1.044,1.109,1.039,0.763,0.796,1.063,0.989,1.279
KCNJ2_MOUSE_Coyote-Maestas_2022_function,0.835,0.906,0.912,0.915,0.909,0.931,0.946,0.921,1.001,0.849,0.911
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,0.592,0.743,0.743,0.911,0.878,0.88,0.864,0.856,1.003,0.608,0.674
KKA2_KLEPN_Melnikov_2014,0.511,0.632,0.561,0.687,0.704,0.705,0.73,0.682,1.003,0.634,0.688
LGK_LIPST_Klesmith_2015,0.557,0.688,0.665,0.802,0.759,0.734,0.848,0.778,1.001,0.554,0.717
LYAM1_HUMAN_Elazar_2016,0.699,0.778,0.742,1.072,0.917,0.901,0.943,0.952,1.042,0.896,0.85
MAFG_MOUSE_Tsuboyama_2023_1K1V,0.325,0.667,0.668,0.978,0.927,0.969,0.791,0.838,1.058,0.594,0.589
MBD11_ARATH_Tsuboyama_2023_6ACV,0.339,0.654,0.453,0.799,1.01,0.802,0.854,0.78,1.026,0.364,0.664
MET_HUMAN_Estevam_2023,0.529,0.575,0.549,0.641,0.626,0.585,0.666,0.626,1.006,0.556,0.618
MK01_HUMAN_Brenan_2016,0.769,0.934,0.918,0.972,0.998,1.003,1.008,0.987,1.002,0.848,0.93
MLAC_ECOLI_MacRae_2023,0.571,0.66,0.674,0.837,0.848,0.83,0.882,0.828,1.008,0.635,0.723
MSH2_HUMAN_Jia_2020,0.59,0.792,0.767,0.805,0.797,0.766,0.826,0.78,1.005,0.603,0.715
MTH3_HAEAE_RockahShmuel_2015,0.461,0.517,0.503,0.503,0.546,0.558,0.687,0.548,1.001,0.609,0.666
MTHR_HUMAN_Weile_2021,0.5,0.658,0.895,0.908,0.879,0.898,0.912,0.896,1.001,0.512,0.608
MYO3_YEAST_Tsuboyama_2023_2BTT,0.35,0.675,0.619,0.916,0.816,0.859,0.918,0.889,1.045,0.629,0.973
NCAP_I34A1_Doud_2015,0.757,1.08,0.88,0.894,1.02,0.88,0.842,0.833,1.002,0.842,0.837
NKX31_HUMAN_Tsuboyama_2023_2L9R,0.29,0.438,0.337,0.67,0.756,0.637,0.613,0.603,1.029,0.292,0.424
NPC1_HUMAN_Erwood_2022_HEK293T,0.411,0.819,0.46,0.628,0.868,0.484,0.64,0.559,1.009,0.496,0.616
NPC1_HUMAN_Erwood_2022_RPE1,0.487,1.536,0.459,0.687,1.015,0.577,0.543,0.479,1.225,0.566,0.635
NRAM_I33A0_Jiang_2016,0.465,1.09,0.432,0.759,1.022,0.592,0.7,0.618,1.014,0.423,0.487
NUD15_HUMAN_Suiter_2020,0.507,0.605,0.472,0.659,0.625,0.543,0.655,0.611,1.005,0.454,0.624
NUSA_ECOLI_Tsuboyama_2023_1WCL,0.201,0.346,0.279,0.89,0.855,0.839,0.759,0.748,1.028,0.245,0.385
NUSG_MYCTU_Tsuboyama_2023_2MI6,0.188,0.415,0.273,0.787,0.958,0.767,0.783,0.792,1.076,0.219,0.398
OBSCN_HUMAN_Tsuboyama_2023_1V1C,0.276,0.322,0.385,0.637,0.549,0.638,0.647,0.615,1.08,0.335,0.592
ODP2_GEOSE_Tsuboyama_2023_1W4G,0.384,1.278,0.637,0.921,1.048,0.803,0.885,0.885,1.06,0.596,1.012
OPSD_HUMAN_Wan_2019,0.474,0.64,0.499,0.708,0.734,0.65,0.779,0.74,1.059,0.511,0.684
OTC_HUMAN_Lo_2023,0.375,0.544,0.444,0.758,0.699,0.697,0.758,0.682,1.005,0.417,0.724
OTU7A_HUMAN_Tsuboyama_2023_2L2D,0.408,0.488,1.064,1.128,0.655,1.109,1.026,1.094,1.125,0.796,0.965
OXDA_RHOTO_Vanella_2023_activity,0.749,0.867,0.837,0.887,0.907,0.905,0.947,0.915,1.003,0.834,0.919
OXDA_RHOTO_Vanella_2023_expression,0.636,0.796,0.775,0.924,0.912,0.912,0.912,0.908,1.0,0.749,0.825
P53_HUMAN_Giacomelli_2018_Null_Etoposide,0.434,0.598,0.67,0.89,0.705,0.863,0.762,0.774,1.003,0.541,0.624
P53_HUMAN_Giacomelli_2018_Null_Nutlin,0.479,0.653,0.616,0.954,0.805,0.94,0.867,0.883,1.001,0.552,0.612
P53_HUMAN_Giacomelli_2018_WT_Nutlin,0.271,0.437,0.494,0.908,0.721,0.92,0.819,0.821,1.001,0.321,0.43
P53_HUMAN_Kotler_2018,0.431,0.673,0.641,0.722,0.711,0.698,0.726,0.703,1.003,0.74,0.732
P84126_THETH_Chan_2017,0.458,0.608,0.444,0.586,0.68,0.567,0.719,0.655,1.007,0.521,0.753
PA_I34A1_Wu_2015,0.919,1.042,1.502,0.855,1.032,0.977,0.841,0.822,1.017,1.002,0.826
PABP_YEAST_Melamed_2013,0.417,0.474,0.477,0.75,0.583,0.582,0.567,0.574,1.02,0.493,0.475
PAI1_HUMAN_Huttinger_2021,0.684,0.817,0.751,0.836,0.824,0.805,0.834,0.815,1.001,0.672,0.789
PHOT_CHLRE_Chen_2023,0.458,0.493,0.502,0.652,0.616,0.648,0.717,0.73,1.014,0.484,0.698
PIN1_HUMAN_Tsuboyama_2023_1I6C,0.308,0.548,0.374,0.615,0.691,0.535,0.508,0.516,1.03,0.382,0.633
PITX2_HUMAN_Tsuboyama_2023_2L7M,0.342,0.685,0.503,0.765,0.789,0.684,0.684,0.718,1.027,0.482,0.686
PKN1_HUMAN_Tsuboyama_2023_1URF,0.311,0.46,0.422,0.956,0.897,0.939,0.906,0.91,1.03,0.372,0.47
POLG_CXB3N_Mattenberger_2021,0.658,0.959,0.708,0.808,1.071,0.708,0.839,0.774,1.006,0.602,0.78
POLG_DEN26_Suphatrakul_2023,0.555,0.954,0.717,0.918,1.027,0.78,0.975,0.951,1.003,0.508,0.695
POLG_HCVJF_Qi_2014,0.76,0.71,0.523,0.838,0.659,0.663,0.748,0.783,1.03,0.598,0.786
POLG_PESV_Tsuboyama_2023_2MXD,0.407,0.644,0.458,1.013,1.045,0.822,1.016,0.997,1.039,0.426,0.633
PPARG_HUMAN_Majithia_2016,0.264,0.382,0.566,0.594,0.546,0.63,0.64,0.557,1.002,0.29,0.428
PPM1D_HUMAN_Miller_2022,0.575,0.658,0.75,0.759,0.665,0.757,0.756,0.71,1.002,0.617,0.674
PR40A_HUMAN_Tsuboyama_2023_1UZC,0.398,0.693,0.33,0.827,0.985,0.654,0.786,0.734,1.038,0.349,0.652
PRKN_HUMAN_Clausen_2023,0.362,0.52,0.761,0.693,0.632,0.762,0.603,0.568,1.005,0.536,0.532
PSAE_SYNP2_Tsuboyama_2023_1PSE,0.401,0.525,0.69,0.957,0.865,1.01,0.99,0.963,1.063,0.631,0.748
PTEN_HUMAN_Matreyek_2021,0.531,0.729,0.716,0.854,0.846,0.823,0.91,0.832,1.002,0.61,0.699
PTEN_HUMAN_Mighell_2018,0.505,0.641,0.662,0.68,0.743,0.782,0.813,0.669,1.007,0.533,0.699
Q2N0S5_9HIV1_Haddox_2018,0.604,0.742,0.73,0.85,0.75,0.744,0.754,0.745,1.002,0.661,0.614
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,0.585,0.654,0.7,0.885,0.906,0.894,0.911,0.882,1.013,0.666,0.656
Q53Z42_HUMAN_McShan_2019_expression,0.593,0.723,0.638,0.739,0.794,0.697,0.743,0.707,1.007,0.726,0.759
Q59976_STRSQ_Romero_2015,0.478,0.675,0.63,0.64,0.732,0.644,0.647,0.611,1.006,0.603,0.633
Q6WV13_9MAXI_Somermeyer_2022,0.747,1.139,0.735,0.99,1.039,0.905,0.996,0.966,1.034,0.634,1.029
Q837P4_ENTFA_Meier_2023,0.52,0.545,0.513,0.659,0.662,0.66,0.701,0.62,1.05,0.518,0.593
Q837P5_ENTFA_Meier_2023,0.68,1.039,0.849,0.819,0.944,0.913,0.797,0.821,1.046,0.763,0.719
Q8WTC7_9CNID_Somermeyer_2022,0.699,1.03,0.778,1.012,1.039,0.934,0.972,0.955,1.027,0.878,1.102
R1AB_SARS2_Flynn_2022,0.557,0.905,0.961,0.961,1.012,1.012,0.857,0.708,1.003,1.033,0.68
RAD_ANTMA_Tsuboyama_2023_2CJJ,0.485,0.644,0.611,1.098,0.944,0.803,0.926,0.974,1.05,0.608,1.012
RAF1_HUMAN_Zinkus-Boltz_2019,0.722,0.882,0.734,0.914,0.872,0.82,0.819,0.82,1.09,0.787,1.251
RASH_HUMAN_Bandaru_2017,0.47,0.633,0.613,0.787,0.879,0.833,0.784,0.764,1.008,0.66,0.646
RASK_HUMAN_Weng_2022_abundance,0.558,0.691,0.613,0.98,1.009,0.979,0.9,0.952,1.007,0.619,0.62
RASK_HUMAN_Weng_2022_binding-DARPin_K55,0.443,0.578,0.527,0.761,0.82,0.67,0.79,0.759,1.033,0.491,0.535
RBP1_HUMAN_Tsuboyama_2023_2KWH,0.2,0.297,0.473,0.923,0.823,1.01,0.877,0.906,1.039,0.395,0.477
RCD1_ARATH_Tsuboyama_2023_5OAO,0.329,0.404,0.5,0.948,0.993,0.929,0.98,0.946,1.022,0.471,0.694
RCRO_LAMBD_Tsuboyama_2023_1ORC,0.32,0.591,0.544,0.858,0.945,0.812,0.852,0.803,1.116,0.525,0.645
RD23A_HUMAN_Tsuboyama_2023_1IFY,0.304,0.311,0.326,0.826,0.646,0.684,0.701,0.735,1.066,0.252,0.483
RDRP_I33A0_Li_2023,0.684,0.983,0.735,0.822,1.015,0.736,0.791,0.712,1.002,0.634,0.755
REV_HV1H2_Fernandes_2016,0.806,0.854,0.811,0.947,0.945,0.933,0.942,0.946,1.01,0.978,0.955
RFAH_ECOLI_Tsuboyama_2023_2LCL,0.524,0.769,0.575,0.929,0.947,0.931,0.984,0.959,1.027,0.62,0.793
RL20_AQUAE_Tsuboyama_2023_1GYZ,0.432,0.588,0.614,0.97,0.915,0.996,0.913,0.94,1.1,0.625,0.63
RL40A_YEAST_Mavor_2016,0.65,0.735,0.727,0.869,0.942,0.872,0.867,0.861,1.015,0.826,0.963
RL40A_YEAST_Roscoe_2013,0.533,0.57,0.529,0.851,0.947,0.877,0.837,0.839,1.025,0.622,0.64
RL40A_YEAST_Roscoe_2014,0.597,0.91,0.797,0.889,0.969,0.9,0.86,0.883,1.039,0.962,0.911
RNC_ECOLI_Weeks_2023,0.428,0.464,0.423,0.705,0.651,0.661,0.798,0.671,1.016,0.362,0.54
RPC1_BP434_Tsuboyama_2023_1R69,0.225,0.324,0.325,0.703,0.498,0.637,0.556,0.741,1.039,0.329,0.476
RPC1_LAMBD_Li_2019_high-expression,0.513,0.729,0.63,0.715,0.7,0.718,0.723,0.676,1.046,0.765,0.788
RPC1_LAMBD_Li_2019_low-expression,0.669,0.866,0.636,0.755,0.799,0.806,0.78,0.738,1.031,0.832,0.945
RS15_GEOSE_Tsuboyama_2023_1A32,0.296,0.325,0.399,0.908,0.882,0.845,0.842,0.901,1.042,0.423,0.518
S22A1_HUMAN_Yee_2023_abundance,0.43,0.627,0.641,0.706,0.661,0.649,0.608,0.621,1.002,0.455,0.511
S22A1_HUMAN_Yee_2023_activity,0.447,0.626,0.68,0.689,0.697,0.683,0.626,0.633,1.002,0.472,0.534
SAV1_MOUSE_Tsuboyama_2023_2YSB,0.501,0.761,0.719,0.874,0.714,0.761,0.739,0.799,1.054,0.572,0.943
SBI_STAAM_Tsuboyama_2023_2JVG,0.46,0.735,0.473,0.897,0.979,0.727,0.913,0.868,1.012,0.453,0.721
SC6A4_HUMAN_Young_2021,0.591,0.729,0.711,0.835,0.752,0.711,0.783,0.751,1.002,0.598,0.664
SCIN_STAAR_Tsuboyama_2023_2QFF,0.335,0.507,0.425,0.949,0.91,0.938,1.003,0.95,1.03,0.399,0.703
SCN5A_HUMAN_Glazer_2019,0.979,1.198,1.373,1.021,1.0,1.014,1.065,1.031,1.024,1.254,1.549
SDA_BACSU_Tsuboyama_2023_1PV0,0.185,0.531,0.355,0.784,0.867,0.716,0.805,0.823,1.071,0.334,0.497
SERC_HUMAN_Xie_2023,0.451,0.549,0.56,0.657,0.629,0.645,0.602,0.647,1.012,0.52,0.544
SHOC2_HUMAN_Kwon_2022,0.701,0.806,0.838,0.864,0.837,0.839,0.864,0.85,1.0,0.715,0.773
SOX30_HUMAN_Tsuboyama_2023_7JJK,0.428,0.454,0.629,0.992,0.87,0.913,0.986,0.952,1.05,0.506,0.788
SPA_STAAU_Tsuboyama_2023_1LP1,0.356,0.79,0.438,0.943,1.034,0.802,0.939,0.905,1.029,0.451,0.595
SPG1_STRSG_Olson_2014,0.655,0.536,1.364,1.029,0.95,0.96,0.921,0.913,1.027,1.107,0.703
SPG1_STRSG_Wu_2016,4.514,5.213,6.822,5.62,5.095,6.821,5.72,6.056,5.653,5.922,5.075
SPG2_STRSG_Tsuboyama_2023_5UBS,0.318,0.892,0.531,0.992,1.035,1.01,1.024,0.958,1.032,0.542,0.738
SPIKE_SARS2_Starr_2020_binding,0.522,0.968,1.078,1.035,1.049,0.887,0.965,0.953,1.015,1.085,0.89
SPIKE_SARS2_Starr_2020_expression,0.381,0.959,0.703,0.94,1.034,0.704,0.885,0.801,1.004,0.664,0.717
SPTN1_CHICK_Tsuboyama_2023_1TUD,0.394,0.526,0.574,0.819,0.716,0.806,0.777,0.779,1.02,0.51,0.652
SQSTM_MOUSE_Tsuboyama_2023_2RRU,0.291,0.516,0.349,0.682,0.92,0.718,0.726,0.672,1.092,0.272,0.469
SR43C_ARATH_Tsuboyama_2023_2N88,0.232,0.461,0.51,0.703,0.746,0.733,0.714,0.677,1.031,0.409,0.562
SRBS1_HUMAN_Tsuboyama_2023_2O2W,0.355,0.68,0.451,0.727,0.758,0.61,0.699,0.663,1.04,0.408,0.702
SRC_HUMAN_Ahler_2019,0.634,0.724,0.902,0.877,0.784,0.922,0.823,0.83,1.007,0.922,0.812
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,0.795,0.849,0.867,0.942,0.91,0.915,0.931,0.93,1.014,1.031,0.933
SRC_HUMAN_Nguyen_2022,0.712,0.8,0.829,0.906,0.852,0.864,0.891,0.894,1.005,0.913,0.911
SUMO1_HUMAN_Weile_2017,0.662,0.803,0.717,0.838,0.804,0.771,0.846,0.8,1.017,0.834,0.954
SYUA_HUMAN_Newberry_2020,0.355,0.316,0.34,0.97,0.839,0.963,0.887,0.905,1.018,0.324,0.339
TADBP_HUMAN_Bolognesi_2019,0.363,0.32,0.528,1.023,1.023,1.033,1.012,1.018,1.012,0.324,0.395
TAT_HV1BR_Fernandes_2016,0.787,0.838,0.763,0.955,0.899,0.91,0.965,0.95,1.02,0.816,0.959
TCRG1_MOUSE_Tsuboyama_2023_1E0L,0.204,0.299,0.476,0.847,0.519,0.607,0.586,0.668,1.083,0.392,0.398
THO1_YEAST_Tsuboyama_2023_2WQG,0.383,0.746,0.574,0.974,0.923,0.903,0.979,0.964,1.024,0.532,0.789
TNKS2_HUMAN_Tsuboyama_2023_5JRT,0.261,0.397,0.408,0.715,0.628,0.772,0.666,0.673,1.028,0.367,0.504
TPK1_HUMAN_Weile_2017,0.906,0.922,0.897,0.964,0.948,0.94,0.94,0.941,1.002,1.077,1.107
TPMT_HUMAN_Matreyek_2018,0.546,0.642,0.673,0.765,0.739,0.787,0.802,0.767,1.003,0.633,0.709
TPOR_HUMAN_Bridgford_2020,0.833,0.854,0.892,1.017,0.896,0.895,0.927,0.924,1.058,0.986,0.844
TRPC_SACS2_Chan_2017,0.529,0.597,0.508,0.661,0.65,0.576,0.693,0.646,1.019,0.583,0.759
TRPC_THEMA_Chan_2017,0.689,0.821,0.723,0.83,0.78,0.787,0.836,0.814,1.028,0.727,0.895
UBC9_HUMAN_Weile_2017,0.703,0.838,0.72,0.792,0.848,0.8,0.839,0.784,1.007,0.82,0.897
